"ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","GENENAME"
"ENSG00000243359",33.5583662658536,22.9574940033938,2.98736997344235,7.68485129310578,1.53174809954347e-14,5.49011432471906e-12,"RN7SL815P","RN7SL815P"
"ENSG00000270190",37.7629750073319,22.3190425498264,2.98728761312478,7.47134037304165,7.93820245740945e-14,1.12507157639016e-11,"RP11-803D5.4","RP11-803D5.4"
"ENSG00000249413",34.8895416094332,22.2206939066821,2.98734176230813,7.43828315428952,1.02002240995987e-13,1.32447161369909e-11,"RP11-25H12.1","RP11-25H12.1"
"ENSG00000186297",33.9469186132922,22.1843890660165,2.98736157422996,7.42608101322148,1.11862499529468e-13,1.410280448283e-11,"GABRA5","GABRA5"
"ENSG00000227400",62.9685155039203,9.44051591353173,1.28848717624683,7.32682178570883,2.35674887719811e-13,2.25131810694284e-11,"AC012501.2","AC012501.2"
"ENSG00000224752",105.777347184006,10.1894803731064,1.50752379924833,6.75908425338758,1.38866628382997e-11,1.02423585141874e-09,"VN1R21P","VN1R21P"
"ENSG00000215120",53.3713416218491,9.20266285676938,1.57545923222049,5.84125737344464,5.18082914392736e-09,3.78261581048798e-07,"AL590763.5","AL590763.5"
"ENSG00000237557",52.803543001187,9.18699536969615,1.59014333562192,5.77746368134984,7.58350843277301e-09,5.52754919699047e-07,"YWHABP1","YWHABP1"
"ENSG00000248313",130.49990604182,10.4924656928307,1.97231921783996,5.31986181441856,1.03846097074157e-07,7.556545946324e-06,"CYP4F27P","CYP4F27P"
"ENSG00000267273",74.2758071703339,9.67928553235255,2.00489568618595,4.82782500807616,1.38032301252836e-06,9.99386122376338e-05,"CTC-543D15.3","CTC-543D15.3"
"ENSG00000118113",60.545157906846,9.38439563168616,2.06382309644196,4.54709303712363,5.4391957941434e-06,0.000391198146594038,"MMP8","MMP8"
"ENSG00000278607",44.2301662537833,8.93142694104367,2.02045009265101,4.42051351504796,9.84666267153685e-06,0.000705851096532036,"RP11-405M12.3","RP11-405M12.3"
"ENSG00000267192",42.1322572444374,8.86143062819782,2.01326421180225,4.40152394119456,1.07493204327612e-05,0.000769285937043597,"AC006116.12","AC006116.12"
"ENSG00000231404",37.6048748491261,8.28272511140338,1.88595708674854,4.39178874726312,1.12421905300278e-05,0.000803233214327474,"RAC1P3","RAC1P3"
"ENSG00000230833",39.4562520495688,8.76704750732306,2.01389029599925,4.35328951370365,1.34109854982289e-05,0.000956613536303768,"RPEP3","RPEP3"
"ENSG00000196611",92608.9336489981,3.3195677103197,0.762639071353538,4.3527375334024,1.34448075546187e-05,0.000957451328138356,"MMP1","MMP1"
"ENSG00000280242",43.8678863670083,8.91950081366508,2.05210554088525,4.3465117343903,1.38319654881105e-05,0.000983407395498137,"RP5-1037N22.2","RP5-1037N22.2"
"ENSG00000256756",41.8880475722247,8.85280910563194,2.05490746078425,4.30813030493027,1.64640384992879e-05,0.00116862338081116,"TIMM17BP1","TIMM17BP1"
"ENSG00000255282",7794.83853898775,3.20493330628483,0.748050271415687,4.28438225176963,1.83247625155062e-05,0.00129645452778954,"WTAPP1","WTAPP1"
"ENSG00000234061",37.9479539540448,8.71052051536459,2.04426312383459,4.26095858884621,2.03551950813155e-05,0.00143775969948139,"AC007969.4","AC007969.4"
"ENSG00000266905",35.8070062440014,8.62677262931835,2.06008644379229,4.18757798019284,2.81947161405671e-05,0.0019818097962727,"RP11-1058N17.1","RP11-1058N17.1"
"ENSG00000144136",186210.262994446,1.02613539920324,0.24554187198716,4.17906482058952,2.92710255088616e-05,0.00205413447458546,"SLC20A1","SLC20A1"
"ENSG00000253429",34.8467590157701,8.58712951150101,2.11952515522485,4.05144024374178,5.09033272262705e-05,0.0035322022375618,"KB-1090H4.2","KB-1090H4.2"
"ENSG00000236226",34.499271063395,8.57312620162226,2.11762800603092,4.04845713090605,5.15563748533033e-05,0.0035718025894775,"RP11-645N11.3","RP11-645N11.3"
"ENSG00000267373",39.3555389125882,7.93102240002225,1.95985035590734,4.04674896535684,5.19338844063137e-05,0.0035922179151793,"CTD-2231E14.5","CTD-2231E14.5"
"ENSG00000229765",30.2931169459213,8.38565773802286,2.09380574873236,4.00498362520007,6.202177733515e-05,0.00427634731517984,"RP11-339A7.1","RP11-339A7.1"
"ENSG00000166530",31.8165186654814,8.45605326280494,2.13123701851504,3.96767379195429,7.25775832108555e-05,0.00498040697194872,"HSBP1P2","HSBP1P2"
"ENSG00000180178",1451.38651862164,4.61655388136692,1.18095084045905,3.90918378920193,9.26084893011891e-05,0.0063349173067875,"FAR2P1","FAR2P1"
"ENSG00000230126",31.8871747649556,8.45970845192311,2.16708363330899,3.90372956626769,9.47216184837183e-05,0.00645909099374273,"FGF12-AS2","FGF12-AS2"
"ENSG00000215720",61.9783344614761,9.4182651596567,2.4345638829917,3.8685635753715,0.000109478393157255,0.00744195679128052,"RP1-21O18.3","RP1-21O18.3"
"ENSG00000171877",7251.83168005661,1.18298198033579,0.310101966990134,3.814816112964,0.000136284379260469,0.00924963574983923,"FRMD5","FRMD5"
"ENSG00000202406",31.4247048908068,8.43867408312904,2.21305401946972,3.81313515571168,0.000137215025433622,0.00929745087413925,"RN7SKP187","RN7SKP187"
